Institucion_normalizada,Nro_Institucion,Tipo,Propiedad,Short_name,Fecha_procesada,año,Short_name_año,ROA,ROE,Apalancamiento_Global,Deterioros_Vencidos,Cobertura_Morosidad,Tasa_Morosidad,Credito_Activo,Deterioro_Credito,Ratio_Eficiencia,Intereses_C_Vigente,Comisiones_C_Vigente,Comisiones_perd_C_Vigente,Incobrables_C_Vigente,Gastos_C_Vigente,GPersonal_C_Vigente,Ctos_Ints_C_Vigente,Resultados_C_Vigente,Incob_C_Bruta,Incob_C_Ints,Ingr_C_Bruta,incr_Cartera,incr_Mora,incr_G_Personal,incr_Ingresos,incr_Incob,Ratio_Eficiencia_ctrol,Activos_promedio,Activos_promedio.1,ROA_1,ROE_1
Banco Hipotecario del Uruguay,91,Banco,Publico,BHU,2009-12-31,2009,BHU_2009,0.0125545680418048,0.0484683947666937,1.5297364794673718,0.7246453378052824,2.3088140668809887,0.3413763503124155,0.841353432182096,0.2473767806908747,0.4519817324159808,0.3869161947560417,0.0012510621553341,3.089042358849712e-06,0.1449508414551386,0.0550160820297574,0.0239113739490127,0.0757665102185521,0.0185557348784248,0.0954680522244697,0.3746311046673375,0.2548321563134563,0.3363187107123671,-0.5255382288253034,-0.1609073559691108,0.8333717238136193,1.5965344773321857,1.57904382298808,1584.5719160537035,1584.5719160537035,0.0136620647082736,0.0345614222680462
Banco Hipotecario del Uruguay,91,Banco,Publico,BHU,2010-12-31,2010,BHU_2010,0.0189471974600537,0.0489261802903639,1.6393354962551612,0.7659885899620854,2.7040072723111845,0.2318703513705699,0.8935315529977087,0.1776100435003561,0.5849920282457478,0.1786447286244248,0.0010734331672706,2.3477482085293142e-06,0.0346784607291943,0.0349031188895851,0.0229220048591558,0.0506033648866423,0.0231836293822481,0.0266375538549255,0.1941196977723361,0.1372223126277793,0.0874497636867908,-0.3666791513971605,0.042454892824995,-0.4979089256033572,-0.7398353569637234,1.844822419025805,1426.531014014029,1426.531014014029,0.0193485333061062,0.0510672707552815
Banco Hipotecario del Uruguay,91,Banco,Publico,BHU,2011-12-31,2011,BHU_2011,0.0692932215105153,0.1629142309996086,1.1088163736712575,0.8438004824247125,5.334558436930721,0.1292554194955821,0.8984379798470618,0.1090657853263807,0.4199149213091473,0.2515800839410098,0.0017389769295612,8.619677957625166e-07,0.0020408380516373,0.0327005153662352,0.0246989545149506,0.1179924442488926,0.0809631697107274,0.0017770486731503,0.008112081130062,0.2190619946544809,0.0001951748029129,-0.5081507144633917,0.0777318685831607,0.4085452617150791,-0.9411382071499104,1.4267094876739317,1362.467899032653,1362.467899032653,0.0710920025347751,0.1499199789824123
Banco Hipotecario del Uruguay,91,Banco,Publico,BHU,2012-12-31,2012,BHU_2012,0.0454110039370878,0.0969801134701579,1.1589901350877243,1.0540387893451055,7.764495131171318,0.0828388848014498,0.9282071064462022,0.0873153978468188,0.3466912508593424,0.1508242109286373,0.0017125461110357,0.0,-0.0124909264322827,0.0189783100669473,0.0225976977846198,0.0466820736100741,0.0450926960147819,-0.0114561916100893,-0.0828177807486945,0.1383300965870175,0.246152338230692,-0.2417685735328393,0.140136272403301,-0.2529220112884975,-8.627061425951416,1.5233096247528466,1442.9316648665083,1442.9316648665083,0.0420606505448826,0.0908085296017736
Banco Hipotecario del Uruguay,91,Banco,Publico,BHU,2013-12-31,2013,BHU_2013,0.0496593793164649,0.1077652878331171,1.1810238062562035,1.224982187835546,10.806378405522782,0.0591309879166905,0.9150002770133444,0.0724344069470648,0.3734276073430992,0.1566507474264595,0.0020122571317302,0.0,-0.0130876020704997,0.0228232712067772,0.0227496716558164,0.0491317365741521,0.0528421440993436,-0.0123137192306106,-0.0835463748849576,0.147387833973245,0.0203156334654723,-0.2900432616944952,0.0271774526710426,0.059731760631541,0.069054811066215,1.460849318770886,1577.663400048256,1577.663400048256,0.0490440347027333,0.1069662103721103
Banco Hipotecario del Uruguay,91,Banco,Publico,BHU,2014-12-31,2014,BHU_2014,0.0307820646635077,0.0686866125225759,1.2808772089062188,1.374501177319106,20.51791207734387,0.0301224997417852,0.9067185272876896,0.0414034113588782,0.3178780160715215,0.1628673349657633,0.0017444316226761,0.0003130247275303,-0.0237290294778743,0.0202106241615032,0.021498062872906,0.0559537102891053,0.0325432397358301,-0.0230142517935542,-0.1456954488931894,0.1579613637103119,0.0518015635107369,-0.480217124802094,-0.0060649452760989,0.0935416547708225,0.907013230611424,1.6850280656108847,1648.6636323039124,1648.6636323039124,0.0298548078775581,0.0680951508641962
Banco Hipotecario del Uruguay,91,Banco,Publico,BHU,2015-12-31,2015,BHU_2015,0.0277983657826278,0.0631902500569361,1.265077008197115,1.506238247388889,25.735615521855483,0.0238643594679341,0.9250743433106324,0.0359454109800395,0.249628188693251,0.1514134920733049,0.0232985105164025,0.0001804031480937,-0.0009239029687228,0.0117665383925624,0.0198100059839149,0.0480260394973902,0.0305064009820572,-0.000901854636183,-0.0061018536464076,0.1478001093510393,-0.0329736894423281,-0.2387912565320141,-0.108905899475533,-0.1009809877525114,-0.9623482924158202,1.590192604837627,1654.9276732816795,1654.9276732816795,0.0285743370937846,0.0647230739756055
Banco Hipotecario del Uruguay,91,Banco,Publico,BHU,2016-12-31,2016,BHU_2016,0.0087546171217394,0.0194747952775311,1.1884332730592142,1.86879024147429,32.539765094364576,0.0219117281841947,0.9247960594562868,0.0409484238044603,0.2980456496852354,0.150512845507984,0.00529407766749,1.243646237283015e-05,0.0062545871114183,0.0103336638599574,0.0187311985302754,0.0522028591800089,0.0089147049580921,0.0061175382987285,0.0415551715224635,0.1472148489489833,0.0935336051904325,0.002053967119266,0.0339822751684948,0.0870289848155125,-8.402943192597162,1.7701682924579354,1679.2264252137438,1679.2264252137438,0.0084079289437224,0.0184001914579597
Banco Hipotecario del Uruguay,91,Banco,Publico,BHU,2017-12-31,2017,BHU_2017,0.043622232977752,0.0956479321061017,1.1963641765804232,2.2050593280297965,44.58368223093132,0.0134017835054446,0.9702416081876554,0.0295517277309165,0.2893626052873921,0.1253883926813978,0.0049156731502645,1.2772919449528708e-05,-0.0070069322666471,0.0084212977115618,0.0191650994525445,0.0421963253500987,0.0415991425125252,-0.0069130268773721,-0.0558818253971177,0.123707964588586,0.1867247339151811,-0.280428944699476,0.2142147504078793,-0.0113700499204844,-2.329472222797592,1.3783749638032372,1866.233248960252,1866.233248960252,0.0410328996921695,0.0901231909450989
Banco Hipotecario del Uruguay,91,Banco,Publico,BHU,2018-12-31,2018,BHU_2018,0.0272929071539293,0.059226599607643,1.143320051740915,2.9761694939129213,51.71199230025835,0.0139694364863184,0.8080112049386884,0.0415754107177351,0.4911698766247506,0.1422611940499093,0.0045052517644855,7.552778371436522e-06,0.0083382867879895,0.0302933959449628,0.0174192764264528,0.0476336991192174,0.0334866444562658,0.0082218056203,0.0586125179370015,0.1402738853351613,-0.189553035994868,-0.1547389860754617,-0.2633797841779248,-0.0804958070843926,-1.9644362119064551,0.4911698766247506,1945.9687865316016,1945.9687865316016,0.0278369368174983,0.059663464859989
